,state_id,state_name,city
219,1,Alabama,Gallant
220,1,Alabama,Gallion
221,1,Alabama,Gantt
222,1,Alabama,Garden City
223,1,Alabama,Gardendale
224,1,Alabama,Gaylesville
225,1,Alabama,Geneva
226,1,Alabama,Georgiana
227,1,Alabama,Geraldine
228,1,Alabama,Gilbertown
229,1,Alabama,Glen Allen
230,1,Alabama,Glenwood
231,1,Alabama,Goodsprings
232,1,Alabama,Goodwater
233,1,Alabama,Goodway
234,1,Alabama,Gordo
235,1,Alabama,Gordon
236,1,Alabama,Goshen
237,1,Alabama,Grady
238,1,Alabama,Graham
239,1,Alabama,Grand Bay
240,1,Alabama,Grant
241,1,Alabama,Graysville
242,1,Alabama,Green Pond
243,1,Alabama,Greensboro
244,1,Alabama,Greenville
245,1,Alabama,Grove Hill
246,1,Alabama,Groveoak
247,1,Alabama,Guin
248,1,Alabama,Gulf Shores
249,1,Alabama,Guntersville
250,1,Alabama,Gurley
251,1,Alabama,Hackleburg
252,1,Alabama,Haleyville
253,1,Alabama,Hamilton
254,1,Alabama,Hanceville
255,1,Alabama,Hardaway
256,1,Alabama,Harpersville
257,1,Alabama,Hartford
258,1,Alabama,Hartselle
259,1,Alabama,Harvest
260,1,Alabama,Hatchechubbee
261,1,Alabama,Hayden
262,1,Alabama,Hayneville
263,1,Alabama,Hazel Green
264,1,Alabama,Headland
265,1,Alabama,Heflin
266,1,Alabama,Helena
267,1,Alabama,Henagar
268,1,Alabama,Higdon
269,1,Alabama,Highland Home
270,1,Alabama,Hillsboro
271,1,Alabama,Hodges
272,1,Alabama,Hollins
273,1,Alabama,Holly Pond
274,1,Alabama,Hollytree
275,1,Alabama,Hollywood
276,1,Alabama,Holy Trinity
277,1,Alabama,Honoraville
278,1,Alabama,Hope Hull
279,1,Alabama,Horton
280,1,Alabama,Houston
281,1,Alabama,Huntsville
282,1,Alabama,Hurtsboro
283,1,Alabama,Huxford
284,1,Alabama,Ider
285,1,Alabama,Irvington
286,1,Alabama,Jachin
287,1,Alabama,Jack
288,1,Alabama,Jackson
289,1,Alabama,Jacksons Gap
290,1,Alabama,Jacksonville
291,1,Alabama,Jasper
292,1,Alabama,Jefferson
293,1,Alabama,Jemison
294,1,Alabama,Jones
295,1,Alabama,Joppa
296,1,Alabama,Kansas
